tick, sec, speed, distance, spdacm, x, y, energy
205, 3.416667, 0.345309, 144.139489, 143.808594, 643.808594, 109.000000, 1133049333.333333
206, 3.433333, 0.335114, 144.474603, 144.152344, 644.152344, 109.000000, 1133049333.333333
207, 3.450000, 0.324929, 144.799532, 144.488281, 644.488281, 109.000000, 1133049333.333333
208, 3.466667, 0.314754, 145.114286, 144.812500, 644.812500, 109.000000, 1133049333.333333
209, 3.483333, 0.304590, 145.418876, 145.128906, 645.128906, 109.000000, 1133049333.333333
210, 3.500000, 0.294437, 145.713313, 145.433594, 645.433594, 109.000000, 1133049333.333333
211, 3.516667, 0.284296, 145.997608, 145.726563, 645.726563, 109.000000, 1133049333.333333
212, 3.533333, 0.274167, 146.271775, 146.011719, 646.011719, 109.000000, 1133049333.333333
213, 3.550000, 0.264053, 146.535828, 146.285156, 646.285156, 109.000000, 1133049333.333333
214, 3.566667, 0.253953, 146.789782, 146.550781, 646.550781, 109.000000, 1133049333.333333
215, 3.583333, 0.243870, 147.033652, 146.804688, 646.804688, 109.000000, 1133049333.333333
216, 3.600000, 0.233803, 147.267455, 147.046875, 647.046875, 109.000000, 1133049333.333333
217, 3.616667, 0.223756, 147.491211, 147.281250, 647.281250, 109.000000, 1133049333.333333
218, 3.633333, 0.213728, 147.704939, 147.503906, 647.503906, 109.000000, 1133049333.333333
219, 3.650000, 0.203723, 147.908662, 147.718750, 647.718750, 109.000000, 1133049333.333333
220, 3.666667, 0.193741, 148.102403, 147.921875, 647.921875, 109.000000, 1133049333.333333
221, 3.683333, 0.183786, 148.286189, 148.117188, 648.117188, 109.000000, 1133049333.333333
222, 3.700000, 0.173860, 148.460049, 148.300781, 648.300781, 109.000000, 1133049333.333333
223, 3.716667, 0.163967, 148.624016, 148.472656, 648.472656, 109.000000, 1133049333.333333
224, 3.733333, 0.154109, 148.778125, 148.636719, 648.636719, 109.000000, 1133049333.333333
225, 3.750000, 0.144291, 148.922416, 148.792969, 648.792969, 109.000000, 1133049333.333333
226, 3.766667, 0.134519, 149.056935, 148.937500, 648.937500, 109.000000, 1133049333.333333
227, 3.783333, 0.124798, 149.181733, 149.070313, 649.070313, 109.000000, 1133049333.333333
228, 3.800000, 0.115136, 149.296869, 149.195313, 649.195313, 109.000000, 1133049333.333333
229, 3.816667, 0.105541, 149.402410, 149.312500, 649.312500, 109.000000, 1133049333.333333
230, 3.833333, 0.096025, 149.498434, 149.417969, 649.417969, 109.000000, 1133049333.333333
231, 3.850000, 0.086601, 149.585035, 149.511719, 649.511719, 109.000000, 1133049333.333333
232, 3.866667, 0.077288, 149.662323, 149.597656, 649.597656, 109.000000, 1133049333.333333
233, 3.883333, 0.068107, 149.730430, 149.675781, 649.675781, 109.000000, 1133049333.333333
234, 3.900000, 0.059091, 149.789521, 149.746094, 649.746094, 109.000000, 1133049333.333333
235, 3.916667, 0.050280, 149.839801, 149.804688, 649.804688, 109.000000, 1133049333.333333
236, 3.933333, 0.041732, 149.881533, 149.855469, 649.855469, 109.000000, 1133049333.333333
237, 3.950000, 0.033527, 149.915060, 149.894531, 649.894531, 109.000000, 1133049333.333333
238, 3.966667, 0.025786, 149.940847, 149.929688, 649.929688, 109.000000, 1133049333.333333
239, 3.983333, 0.018686, 149.959532, 149.957031, 649.957031, 109.000000, 1133049333.333333
240, 4.000000, 0.012481, 149.972013, 149.972656, 649.972656, 109.000000, 1133049333.333333
241, 4.016667, 0.007506, 149.979518, 149.984375, 649.984375, 109.000000, 1133049333.333333
242, 4.033333, 0.004049, 149.983567, 149.992188, 649.992188, 109.000000, 1133049333.333333
243, 4.050000, 0.002050, 149.985617, 149.996094, 649.996094, 109.000000, 1133049333.333333
244, 4.066667, 0.001025, 149.986642, 150.000000, 650.000000, 109.000000, 1133049333.333333
